"","season","season_type","team","type","total_plays","total_epa","total_success","total_dropbacks","total_dropback_epa","total_dropback_success","total_rushes","total_rush_epa","total_rush_success","total_pts"
"49",2022,"POST","CIN","defense",201,-1.61651670420529,85,134,12.5545170633124,61,67,-14.1710337675177,24,50
"50",2022,"POST","DAL","defense",148,-3.0607696947535,64,104,0.457000003183688,46,44,-3.51776969793718,18,33
"51",2022,"POST","JAX","defense",135,16.5521996348693,61,88,20.8938487481504,47,47,-4.34164911328116,14,57
"52",2022,"POST","KC","defense",200,13.8169736302387,95,138,8.91247919667666,61,62,4.90449443356204,34,75
"53",2022,"POST","LAC","defense",74,0.0482682576300763,38,53,-4.72292813130468,26,21,4.77119638893476,12,31
"54",2022,"POST","MIA","defense",73,-9.82538670809678,32,50,-10.4751628844717,23,23,0.649776176374871,9,34
"55",2022,"POST","MIN","defense",68,22.4633760069371,35,46,20.1867110805576,26,22,2.27666492637945,9,31
"56",2022,"POST","NYG","defense",126,32.6135016494439,69,68,16.0284177757925,36,58,16.5850838736515,33,62
"57",2022,"POST","PHI","defense",150,-11.4150663509307,69,87,-4.34023491198141,42,63,-7.07483143894933,27,52
"58",2022,"POST","SEA","defense",64,25.3438338433176,32,33,23.9850827530897,19,31,1.35875109022789,13,41
"59",2022,"POST","SF","defense",201,7.89308171500502,87,116,6.71642759912486,52,85,1.17665411588016,35,66
"60",2022,"POST","TB","defense",67,25.0273232206237,37,37,25.2459102573921,23,30,-0.21858703676844,14,31
"61",2022,"REG","ARI","defense",1097,13.8065684278511,523,680,37.6427976291516,348,417,-23.8362292013004,175,449
"62",2022,"REG","ATL","defense",1110,73.0489510245398,537,624,77.646614714846,310,486,-4.59766369030616,227,386
"63",2022,"REG","BAL","defense",1080,-2.81766973635865,479,703,38.2411182647168,327,377,-41.0587880010755,152,315
"64",2022,"REG","BUF","defense",1045,-48.317330111834,460,685,-6.06178972187364,312,360,-42.2555403899604,148,286
"65",2022,"REG","CAR","defense",1139,9.09584885959353,505,679,46.3626821527859,314,460,-37.2668332931924,191,374
"66",2022,"REG","CHI","defense",1064,133.591296839798,515,568,121.745013817403,294,496,11.8462830223955,221,463
"67",2022,"REG","CIN","defense",1024,-45.1223227582011,432,631,-15.697741874329,268,393,-29.4245808838721,164,322
"68",2022,"REG","CLE","defense",1071,29.9808001789672,477,611,10.4452594585539,277,460,19.5355407204132,200,381
"69",2022,"REG","DAL","defense",1133,-101.149288266604,468,661,-40.8571142826331,294,472,-60.2921739839708,174,342
"70",2022,"REG","DEN","defense",1128,-48.381665365032,477,708,-22.6507367300515,310,420,-25.7309286349804,167,359
"71",2022,"REG","DET","defense",1117,92.0595603657617,527,686,82.9849638245564,334,431,9.07459654120535,193,427
"72",2022,"REG","GB","defense",1017,33.4768592453702,466,563,12.3438546984808,254,454,21.1330045468894,212,371
"73",2022,"REG","HOU","defense",1148,13.1271160382399,527,614,21.1048747856394,289,534,-7.97775874739946,238,420
"74",2022,"REG","IND","defense",1123,-18.5730627093338,506,644,29.0081297251249,305,479,-47.5811924344588,201,427
"75",2022,"REG","JAX","defense",1150,-20.9877597376237,508,713,28.9279788133367,331,437,-49.9157385509603,177,350
"76",2022,"REG","KC","defense",1136,-2.48199691750485,486,759,27.2232023438533,338,377,-29.7051992613581,148,369
"77",2022,"REG","LA","defense",1075,16.9606423150071,483,638,60.3372253341183,314,437,-43.3765830191112,169,384
"78",2022,"REG","LAC","defense",1036,12.9644567261155,456,605,-3.48961364129473,263,431,16.4540703674103,193,384
"79",2022,"REG","LV","defense",1105,75.7826383422443,527,678,100.461892975839,335,427,-24.6792546335948,192,418
"80",2022,"REG","MIA","defense",1116,25.2404463819653,486,736,66.6233218839803,344,380,-41.382875502015,142,399
"81",2022,"REG","MIN","defense",1151,4.46203268987616,518,725,37.2508511248926,339,426,-32.7888184350164,179,427
"82",2022,"REG","NE","defense",1112,-94.7619065703097,465,707,-54.359084218814,302,405,-40.4028223514958,163,347
"83",2022,"REG","NO","defense",1122,-39.0222307500759,470,650,-11.5558176583316,271,472,-27.4664130917444,199,345
"84",2022,"REG","NYG","defense",1116,52.6388331288076,491,670,32.2719302065961,297,446,20.3669029222114,194,371
"85",2022,"REG","NYJ","defense",1122,-50.6683827131768,464,662,-17.8305884012153,285,460,-32.8377943119615,179,316
"86",2022,"REG","PHI","defense",1096,-69.9509293729453,475,686,-60.5885483629734,298,410,-9.36238100997197,177,344
"87",2022,"REG","PIT","defense",1046,22.4442636256742,450,647,50.6118617278769,294,399,-28.1675981022027,156,346
"88",2022,"REG","SEA","defense",1136,38.8165851353756,482,656,30.9120501331206,288,480,7.904535002255,194,401
"89",2022,"REG","SF","defense",1059,-121.319365579862,432,700,-58.1160649001824,305,359,-63.2033006796792,127,277
"90",2022,"REG","TB","defense",1105,-27.3658792685505,468,673,8.91428056037714,300,432,-36.2801598289277,168,358
"91",2022,"REG","TEN","defense",1150,16.6227040721029,490,787,88.3395939265548,370,363,-71.7168898544519,120,359
"92",2022,"REG","WAS","defense",1028,-61.3028310084012,410,624,-9.25455600642873,260,404,-52.0482750019724,150,343
